,код класса,наименование класса,НоменклатураНаименование,НоменклатураНаименованиеПолное,НоменклатураРодитель,НоменклатураВидНоменклатуры,id,Наименование,n_abb,abb,upper_case,special,eng_letters,nums,version,n_tokens,level_0,level_1,level_2,level_3,level_4
3003,05.16.04.04,Реактивы химические,Кислота хлорная Кислота хлорная,Кислота хлорная,Химреактивы,Прочие материалы (б/сч 10.06),735,Кислота хлорная,0,0,0,0,0,0,0,4,2,8,13,17,76
3004,05.16.04.04,Реактивы химические,Кислота хлорная Кислота хлорная,Кислота хлорная,Химреактивы,Прочие материалы (б/сч 10.06),736,Кислота хлорная,0,0,0,0,0,0,0,4,2,8,13,17,76
3005,05.16.04.04,Реактивы химические,Кислота щавелевая Кислота щавелевая,Кислота щавелевая,Химреактивы,Прочие материалы (б/сч 10.06),737,Кислота щавелевая,0,0,0,0,0,0,0,4,2,8,13,17,76
3006,05.16.04.04,Реактивы химические,Кислота щавелевая Кислота щавелевая,Кислота щавелевая,Химреактивы,Прочие материалы (б/сч 10.06),738,Кислота щавелевая,0,0,0,0,0,0,0,4,2,8,13,17,76
3007,05.16.04.04,Реактивы химические,Кислота янтарная Кислота янтарная,Кислота янтарная,Химреактивы,Прочие материалы (б/сч 10.06),739,Кислота янтарная,0,0,0,0,0,0,0,4,2,8,13,17,76
3008,05.19.03,Товары канцелярские,Кисть Кисть,Кисть,Товары канцелярские,Прочие материалы (б/сч 10.06),756,Кисть,0,0,0,0,0,0,0,2,2,9,15,20,79
3009,05.19.03,Товары канцелярские,Клей - карандаш Клей - карандаш,Клей - карандаш,Канцтовары,Материал,90368,Клей - карандаш,0,0,0,2,0,0,0,6,2,9,15,20,79
3010,05.19.03,Товары канцелярские,Клей карандаш 15гр BR Клей карандаш 15гр BR,Клей карандаш 15гр BR,25.9 Канцтовары (новый),Материал,118275,Клей карандаш 15гр BR,0,0,2,0,1,1,1,8,2,9,15,20,79
3011,05.19.03,Товары канцелярские,Клей карандаш 25гр BR Клей карандаш 25гр BR,Клей карандаш 25гр BR,25.9 Канцтовары (новый),Материал,118277,Клей карандаш 25гр BR,0,0,2,0,1,1,1,8,2,9,15,20,79
3012,05.19.03,Товары канцелярские,Клей ПВА Клей ПВА,Клей ПВА,Товары канцелярские,Прочие материалы (б/сч 10.06),5516,Клей ПВА,0,0,2,0,0,0,0,4,2,9,15,20,79
3013,05.19.03,Товары канцелярские,Клей ПВА Клей ПВА,Клей ПВА,Товары канцелярские,Прочие материалы (б/сч 10.06),5518,Клей ПВА,0,0,2,0,0,0,0,4,2,9,15,20,79
3014,05.19.03,Товары канцелярские,"Клей ПВА стандарт 10,0кг Клей ПВА стандарт 10,0кг","Клей ПВА стандарт 10,0кг",Канц. товары,Канц. товары,128437,"Клей ПВА стандарт 10,0кг",0,0,2,0,0,1,1,8,2,9,15,20,79
3015,05.19.03,Товары канцелярские,Клей-карандаш Клей-карандаш,Клей-карандаш,Товары канцелярские,Прочие материалы (б/сч 10.06),5526,Клей-карандаш,0,0,0,2,0,0,0,2,2,9,15,20,79
3016,05.19.03,Товары канцелярские,клей-карандаш клей-карандаш,клей-карандаш,Канц. товары,Канц. товары,134257,клей-карандаш,0,0,0,2,0,0,0,2,2,9,15,20,79
3017,05.19.03,Товары канцелярские,Клейкие ленты 12мм х 33м Клейкие ленты 12мм х 33м,Клейкие ленты 12мм х 33м,Канц. товары,Канц. товары,134260,Клейкие ленты 12мм х 33м,0,0,0,0,0,1,1,10,2,9,15,20,79
3018,05.19.03,Товары канцелярские,Клеящая лента  48*66 Клеящая лента  48*66,Клеящая лента  48*66,Канцтовары,Материал,90410,Клеящая лента  48*66,0,0,0,2,0,1,1,8,2,9,15,20,79
3019,05.16.04.04,Реактивы химические,Кобальт хлористый Кобальт хлористый,Кобальт хлористый,Химреактивы,Прочие материалы (б/сч 10.06),2964,Кобальт хлористый,0,0,0,0,0,0,0,4,2,8,13,17,76
3020,05.16.04.04,Реактивы химические,Кобальт хлористый Кобальт хлористый,Кобальт хлористый,Химреактивы,Прочие материалы (б/сч 10.06),2965,Кобальт хлористый,0,0,0,0,0,0,0,4,2,8,13,17,76
3021,05.19.03,Товары канцелярские,Конверт Конверт,Конверт,Товары канцелярские,Прочие материалы (б/сч 10.06),43427,Конверт,0,0,0,0,0,0,0,2,2,9,15,20,79
3022,05.19.03,Товары канцелярские,Конверт Конверт,Конверт,Канцтовары,Материал,104012,Конверт,0,0,0,0,0,0,0,2,2,9,15,20,79
3023,05.19.03,Товары канцелярские,Конверт  С5 Конверт  С5,Конверт  С5,Канцтовары,Материал,104014,Конверт  С5,0,0,0,0,0,1,1,6,2,9,15,20,79
3024,05.19.03,Товары канцелярские,Конверт С4 Конверт С4,Конверт С4,Канц. товары,Канц. товары,131628,Конверт С4,0,0,0,0,0,1,1,4,2,9,15,20,79
3025,05.19.03,Товары канцелярские,Корзина д/бумаг Корзина д/бумаг,Корзина д/бумаг,Канц. товары,Канц. товары,129176,Корзина д/бумаг,2,1,0,2,0,0,0,4,2,9,15,20,79
3026,05.19.03,Товары канцелярские,Корзина для бумаг Корзина для бумаг,Корзина для бумаг,Канцелярские товары,Прочие материалы,20517,Корзина для бумаг,0,0,0,0,0,0,0,6,2,9,15,20,79
3027,05.19.03,Товары канцелярские,Корзина офисная 9л Корзина офисная 9л,Корзина офисная 9л,Канцелярские товары,Материал,1455,Корзина офисная 9л,0,0,0,0,0,1,1,6,2,9,15,20,79
3028,05.10.14,"Блоки дверные и оконные, изделия замочно-скобяные",коробка дверная коробка дверная,коробка дверная,Материалы,Материалы,128687,коробка дверная,0,0,0,0,0,0,0,4,2,6,10,13,72
3029,05.19.03,Товары канцелярские,корректор корректор,корректор,канцелярские товары,Материал,43101,корректор,0,0,0,0,0,0,0,2,2,9,15,20,79
3030,05.19.03,Товары канцелярские,корректор корректор,корректор,Канцтовары,Материал,108574,корректор,0,0,0,0,0,0,0,2,2,9,15,20,79
3031,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),3085,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3032,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),3086,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3033,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),3087,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3034,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),3088,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3035,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13969,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3036,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13970,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3037,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13971,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3038,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13972,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3039,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13973,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3040,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13974,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3041,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13975,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3042,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13976,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3043,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13977,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3044,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13978,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3045,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13979,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3046,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13980,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3047,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13981,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3048,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13982,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3049,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13983,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3050,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13984,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3051,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13985,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3052,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13986,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3053,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13987,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3054,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13988,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3055,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13989,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3056,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13990,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3057,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13991,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3058,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13992,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3059,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13993,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3060,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13994,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3061,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13995,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3062,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13996,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3063,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13997,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3064,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13998,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3065,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),13999,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3066,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14000,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3067,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14104,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3068,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14105,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3069,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14106,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3070,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14107,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3071,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14108,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3072,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14109,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3073,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14110,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3074,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14111,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3075,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14112,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3076,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14113,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3077,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14114,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3078,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14115,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3079,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14116,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3080,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14117,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3081,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),14118,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3082,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25390,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3083,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25391,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3084,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25392,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3085,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25393,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3086,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25394,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3087,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25395,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3088,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25396,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3089,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25397,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3090,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25398,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3091,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25399,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3092,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25400,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3093,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25401,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3094,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25402,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3095,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25403,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3096,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25404,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3097,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25405,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3098,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25406,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3099,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25407,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3100,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25408,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3101,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25409,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3102,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25410,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3103,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25411,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3104,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25412,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3105,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25413,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3106,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25414,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3107,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25415,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3108,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25416,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3109,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25417,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3110,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25418,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3111,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25419,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3112,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25420,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3113,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25421,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3114,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25422,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3115,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25423,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3116,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25424,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3117,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25425,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3118,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25426,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3119,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25427,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3120,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25428,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3121,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25429,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3122,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25430,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3123,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25431,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3124,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25432,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3125,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25433,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3126,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25434,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3127,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25435,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3128,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),25436,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3129,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36053,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3130,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36054,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3131,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36055,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3132,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36056,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3133,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36057,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3134,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36058,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3135,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36059,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3136,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36060,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3137,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36061,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3138,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36062,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3139,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36063,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3140,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36064,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3141,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36065,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3142,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36066,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3143,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36067,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3144,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36068,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
3145,05.21.09.08,Костюмы,Костюм Костюм,Костюм,Спецодежда,Спецостнастка и спецодежда (б/сч 10.10),36069,Костюм,0,0,0,0,0,0,0,2,2,11,24,38,97
